Date,Precipitation_mm,PET_mm,Q_mm
2000-01-01,0.00,2.11,0.24
2000-01-02,0.00,2.13,0.24
2000-01-03,0.00,2.13,0.25
2000-01-04,0.00,2.12,0.27
2000-01-05,0.00,2.11,0.26
2000-01-06,0.00,2.13,0.26
2000-01-07,0.00,2.09,0.26
2000-01-08,0.00,2.12,0.26
2000-01-09,0.00,2.18,0.25
2000-01-10,0.00,2.24,0.25
2000-01-11,0.00,2.29,0.47
2000-01-12,0.00,2.32,0.49
2000-01-13,0.00,2.39,0.48
2000-01-14,0.00,2.44,0.32
2000-01-15,0.00,2.12,0.46
2000-01-16,0.00,2.09,0.49
2000-01-17,0.00,2.35,0.51
2000-01-18,0.00,2.34,0.53
2000-01-19,0.00,2.34,0.30
2000-01-20,0.00,2.41,0.26
2000-01-21,0.00,2.44,0.49
2000-01-22,0.00,2.54,0.44
2000-01-23,0.00,2.10,0.35
2000-01-24,0.00,2.45,0.26
2000-01-25,0.00,2.43,0.27
2000-01-26,0.04,2.37,0.33
2000-01-27,0.00,2.48,0.34
2000-01-28,0.00,2.52,0.39
2000-01-29,0.00,2.43,0.29
2000-01-30,0.00,2.41,0.33
2000-01-31,0.00,2.52,0.37
2000-02-01,0.00,2.58,0.28
2000-02-02,0.00,2.61,0.20
2000-02-03,0.00,2.72,0.17
2000-02-04,0.00,2.73,0.15
2000-02-05,0.00,2.46,0.14
2000-02-06,0.14,2.18,0.14
2000-02-07,2.29,2.60,0.13
2000-02-08,0.22,2.26,0.08
2000-02-09,2.47,1.13,0.07
2000-02-10,1.61,2.43,0.07
2000-02-11,0.11,2.24,0.07
2000-02-12,1.46,1.52,0.07
2000-02-13,1.67,2.09,0.11
2000-02-14,3.98,1.01,0.15
2000-02-15,2.43,2.79,0.16
2000-02-16,0.01,2.73,0.17
2000-02-17,4.58,2.56,0.41
2000-02-18,9.58,2.50,0.24
2000-02-19,0.71,2.77,0.42
2000-02-20,0.04,1.43,0.34
2000-02-21,2.03,2.38,0.25
2000-02-22,8.52,1.96,0.27
2000-02-23,0.04,1.67,0.25
2000-02-24,0.00,1.87,0.25
2000-02-25,4.95,0.98,0.50
2000-02-26,1.16,0.66,0.74
2000-02-27,0.03,3.03,0.71
2000-02-28,0.00,3.11,0.67
2000-02-29,0.00,3.15,0.59
2000-03-01,0.00,3.22,0.48
2000-03-02,0.00,3.23,0.50
2000-03-03,0.00,3.28,0.47
2000-03-04,0.00,3.31,0.41
2000-03-05,0.00,3.30,0.40
2000-03-06,0.00,3.31,0.38
2000-03-07,0.00,2.95,0.29
2000-03-08,0.00,2.87,0.26
2000-03-09,0.00,3.28,0.25
2000-03-10,0.00,3.25,0.22
2000-03-11,0.00,3.35,0.08
2000-03-12,0.00,3.34,0.08
2000-03-13,0.00,3.13,0.07
2000-03-14,0.75,3.07,0.04
2000-03-15,0.00,3.44,0.14
2000-03-16,0.00,3.38,0.16
2000-03-17,0.00,3.41,0.19
2000-03-18,0.00,3.31,0.23
2000-03-19,0.00,3.51,0.20
2000-03-20,0.00,3.46,0.17
2000-03-21,0.02,3.47,0.16
2000-03-22,0.00,3.32,0.15
2000-03-23,0.00,3.54,0.13
2000-03-24,0.00,3.58,0.09
2000-03-25,0.00,3.55,0.18
2000-03-26,0.00,3.52,0.30
2000-03-27,0.05,3.12,0.42
2000-03-28,0.00,3.13,0.44
2000-03-29,0.00,3.63,0.30
2000-03-30,0.00,3.64,0.28
2000-03-31,0.00,3.70,0.28
2000-04-01,0.00,3.80,0.43
2000-04-02,0.00,3.90,0.36
2000-04-03,0.00,3.88,0.29
2000-04-04,0.00,3.59,0.28
2000-04-05,0.00,3.65,0.27
2000-04-06,0.00,3.68,0.21
2000-04-07,0.00,3.59,0.43
2000-04-08,0.00,3.86,0.27
2000-04-09,0.67,3.55,0.26
2000-04-10,0.01,3.86,0.25
2000-04-11,0.00,3.74,0.25
2000-04-12,0.00,3.73,0.24
2000-04-13,0.00,3.57,0.23
2000-04-14,0.08,3.64,0.23
2000-04-15,0.12,3.81,0.23
2000-04-16,0.89,3.87,0.24
2000-04-17,1.54,3.77,0.24
2000-04-18,0.00,3.66,0.23
2000-04-19,0.25,3.82,0.22
2000-04-20,0.00,3.85,0.21
2000-04-21,0.00,3.72,0.21
2000-04-22,0.09,3.82,0.34
2000-04-23,0.04,3.95,0.43
2000-04-24,1.25,3.89,0.30
2000-04-25,0.69,3.82,0.46
2000-04-26,0.07,3.97,0.28
2000-04-27,0.00,3.82,0.42
2000-04-28,0.07,3.83,0.43
2000-04-29,0.05,3.96,0.28
2000-04-30,0.04,3.94,0.27
2000-05-01,0.01,3.97,0.26
2000-05-02,0.04,3.83,0.24
2000-05-03,0.00,3.92,0.25
2000-05-04,2.71,3.87,0.24
2000-05-05,0.28,4.08,0.21
2000-05-06,4.30,3.64,0.25
2000-05-07,0.04,3.90,0.25
2000-05-08,5.02,3.64,0.26
2000-05-09,0.00,3.94,0.45
2000-05-10,0.74,3.75,0.46
2000-05-11,0.42,3.96,0.45
2000-05-12,0.05,3.99,0.50
2000-05-13,1.50,4.10,0.47
2000-05-14,0.00,4.06,0.48
2000-05-15,0.57,3.89,0.46
2000-05-16,0.49,3.38,0.42
2000-05-17,4.39,3.92,0.26
2000-05-18,4.00,3.94,0.26
2000-05-19,0.00,4.29,0.26
2000-05-20,0.61,4.20,0.24
2000-05-21,7.37,3.52,0.23
2000-05-22,2.80,3.61,0.27
2000-05-23,4.11,3.48,0.25
2000-05-24,1.49,3.80,0.25
2000-05-25,0.07,4.21,0.27
2000-05-26,1.68,4.38,0.25
2000-05-27,0.00,4.25,0.24
2000-05-28,0.49,4.02,0.25
2000-05-29,1.07,3.93,0.27
2000-05-30,0.08,4.07,0.26
2000-05-31,2.25,3.65,0.23
2000-06-01,16.67,3.99,0.26
2000-06-02,1.14,3.40,0.27
2000-06-03,0.29,3.00,0.26
2000-06-04,0.97,3.12,0.26
2000-06-05,4.78,2.03,0.25
2000-06-06,9.33,2.03,0.25
2000-06-07,9.94,3.01,0.30
2000-06-08,2.95,3.82,0.34
2000-06-09,0.63,3.63,0.34
2000-06-10,0.01,3.21,0.38
2000-06-11,19.80,2.34,0.29
2000-06-12,1.01,2.12,0.27
2000-06-13,1.43,2.42,0.43
2000-06-14,7.65,2.88,0.64
2000-06-15,4.27,3.06,0.57
2000-06-16,16.35,2.43,0.73
2000-06-17,7.40,2.31,0.68
2000-06-18,23.57,0.88,0.60
2000-06-19,6.79,2.27,0.60
2000-06-20,0.21,2.58,0.94
2000-06-21,0.80,1.33,1.09
2000-06-22,6.76,1.13,0.73
2000-06-23,1.77,3.53,0.64
2000-06-24,1.12,3.98,0.56
2000-06-25,2.00,4.15,0.47
2000-06-26,6.47,3.93,0.43
2000-06-27,10.60,3.56,0.49
2000-06-28,5.53,2.36,0.51
2000-06-29,9.21,2.88,0.69
2000-06-30,4.29,3.04,0.68
2000-07-01,2.54,2.94,0.53
2000-07-02,0.74,3.05,0.67
2000-07-03,3.76,3.73,0.53
2000-07-04,0.04,3.88,0.43
2000-07-05,1.11,4.11,0.42
2000-07-06,0.11,3.88,0.47
2000-07-07,0.03,2.78,0.42
2000-07-08,6.93,2.25,0.34
2000-07-09,11.42,3.42,0.30
2000-07-10,13.78,1.08,0.27
2000-07-11,14.86,1.45,1.00
2000-07-12,47.09,0.93,5.98
2000-07-13,5.24,2.24,3.00
2000-07-14,4.47,1.44,2.05
2000-07-15,0.59,2.71,2.01
2000-07-16,6.89,1.01,1.07
2000-07-17,48.63,1.06,2.15
2000-07-18,65.97,0.68,6.83
2000-07-19,14.37,0.64,14.62
2000-07-20,6.03,2.50,8.53
2000-07-21,0.21,3.39,5.12
2000-07-22,0.50,3.51,3.23
2000-07-23,9.76,3.10,2.69
2000-07-24,0.57,2.71,2.15
2000-07-25,1.21,2.55,1.70
2000-07-26,7.02,0.92,1.08
2000-07-27,6.37,2.72,0.86
2000-07-28,6.26,2.15,0.82
2000-07-29,3.87,3.72,0.95
2000-07-30,8.38,3.16,1.00
2000-07-31,4.91,3.56,0.98
2000-08-01,3.05,3.32,2.07
2000-08-02,0.11,3.49,1.69
2000-08-03,1.46,3.27,0.86
2000-08-04,0.11,3.47,0.80
2000-08-05,5.22,2.64,0.67
2000-08-06,4.63,3.05,0.45
2000-08-07,4.51,1.76,0.57
2000-08-08,15.93,2.28,0.72
2000-08-09,4.86,1.43,1.35
2000-08-10,7.81,2.80,1.41
2000-08-11,5.78,2.21,0.78
2000-08-12,0.95,2.54,0.85
2000-08-13,0.26,2.47,0.93
2000-08-14,11.11,2.50,0.65
2000-08-15,17.74,2.38,0.64
2000-08-16,6.79,2.79,0.85
2000-08-17,10.09,1.97,2.45
2000-08-18,15.99,0.82,3.03
2000-08-19,11.72,1.09,3.13
2000-08-20,5.32,1.47,2.56
2000-08-21,11.79,1.73,3.50
2000-08-22,9.92,2.83,2.80
2000-08-23,9.32,2.90,2.03
2000-08-24,6.23,2.92,2.53
2000-08-25,4.16,2.29,1.82
2000-08-26,7.87,2.48,1.13
2000-08-27,11.05,2.16,1.65
2000-08-28,13.94,1.82,1.27
2000-08-29,19.78,1.92,1.38
2000-08-30,18.60,1.28,2.53
2000-08-31,17.93,1.06,12.64
2000-09-01,0.61,3.05,8.23
2000-09-02,0.25,1.75,5.12
2000-09-03,0.17,3.11,4.04
2000-09-04,5.65,3.25,2.72
2000-09-05,3.99,3.04,2.23
2000-09-06,5.15,2.98,1.47
2000-09-07,5.43,2.23,1.28
2000-09-08,6.05,2.06,1.59
2000-09-09,15.01,1.20,1.63
2000-09-10,16.24,2.61,3.16
2000-09-11,0.73,3.32,3.43
2000-09-12,0.00,3.61,2.48
2000-09-13,0.00,3.71,1.71
2000-09-14,0.71,2.47,1.14
2000-09-15,9.73,3.40,0.93
2000-09-16,8.81,3.26,0.82
2000-09-17,6.11,2.53,0.79
2000-09-18,12.89,1.96,1.01
2000-09-19,9.63,2.39,1.65
2000-09-20,7.41,3.42,1.71
2000-09-21,0.72,2.91,2.37
2000-09-22,1.60,3.41,1.92
2000-09-23,0.41,3.26,1.34
2000-09-24,11.38,2.84,1.61
2000-09-25,5.11,3.13,1.20
2000-09-26,1.16,3.28,1.52
2000-09-27,3.23,3.37,1.63
2000-09-28,2.19,3.44,1.26
2000-09-29,0.17,3.51,1.20
2000-09-30,0.04,3.57,1.12
2000-10-01,0.00,3.46,0.96
2000-10-02,0.00,3.54,0.85
2000-10-03,0.00,3.47,0.79
2000-10-04,0.03,3.53,0.75
2000-10-05,0.03,3.39,0.68
2000-10-06,0.00,3.37,0.75
2000-10-07,0.00,3.36,0.69
2000-10-08,0.04,3.23,0.68
2000-10-09,1.13,3.31,0.68
2000-10-10,1.40,3.20,0.73
2000-10-11,0.75,3.33,0.65
2000-10-12,0.96,3.38,0.66
2000-10-13,0.41,3.38,0.64
2000-10-14,0.00,3.32,0.65
2000-10-15,0.00,3.24,0.64
2000-10-16,0.00,2.80,0.43
2000-10-17,4.25,1.74,0.72
2000-10-18,2.81,2.65,0.66
2000-10-19,0.56,3.03,0.65
2000-10-20,0.00,3.12,0.64
2000-10-21,0.00,3.24,0.67
2000-10-22,0.00,3.18,0.85
2000-10-23,0.00,3.16,0.85
2000-10-24,0.00,3.13,1.11
2000-10-25,0.00,3.09,2.56
2000-10-26,0.00,3.01,3.20
2000-10-27,0.00,2.97,1.32
2000-10-28,0.00,2.97,0.51
2000-10-29,0.30,2.64,0.52
2000-10-30,0.72,2.60,0.53
2000-10-31,0.00,2.68,0.52
2000-11-01,0.00,2.79,0.54
2000-11-02,0.00,2.84,0.57
2000-11-03,0.00,2.74,0.58
2000-11-04,0.00,2.63,0.60
2000-11-05,0.00,2.61,0.58
2000-11-06,0.00,2.51,0.63
2000-11-07,0.00,2.65,0.64
2000-11-08,0.00,2.62,0.66
2000-11-09,0.00,2.56,0.65
2000-11-10,0.00,2.59,0.65
2000-11-11,0.00,2.61,0.67
2000-11-12,0.00,2.57,0.63
2000-11-13,0.00,2.51,0.64
2000-11-14,0.00,2.50,0.66
2000-11-15,0.00,2.48,0.66
2000-11-16,0.00,2.46,0.73
2000-11-17,0.00,2.42,0.64
2000-11-18,0.00,2.40,0.66
2000-11-19,0.00,2.40,0.69
2000-11-20,0.00,2.41,0.67
2000-11-21,0.00,2.42,0.57
2000-11-22,0.00,2.41,0.62
2000-11-23,0.00,2.38,0.62
2000-11-24,0.00,2.39,0.59
2000-11-25,0.00,2.36,0.64
2000-11-26,0.00,2.35,0.62
2000-11-27,0.00,2.29,0.62
2000-11-28,0.00,1.83,0.66
2000-11-29,0.18,1.97,0.64
2000-11-30,0.01,1.73,0.64
2000-12-01,0.01,2.28,0.58
2000-12-02,0.00,2.23,0.57
2000-12-03,0.00,2.16,0.57
2000-12-04,0.00,2.09,0.57
2000-12-05,0.00,2.11,0.56
2000-12-06,0.00,2.14,0.56
2000-12-07,0.00,2.14,0.53
2000-12-08,0.00,2.12,0.51
2000-12-09,0.00,2.12,0.53
2000-12-10,0.00,2.10,0.51
2000-12-11,0.00,2.13,0.49
2000-12-12,0.00,2.14,0.46
2000-12-13,0.00,2.11,0.46
2000-12-14,0.00,2.06,0.47
2000-12-15,0.00,2.09,0.45
2000-12-16,0.00,2.09,0.43
2000-12-17,0.00,2.08,0.42
2000-12-18,0.00,2.07,0.45
2000-12-19,0.00,2.14,0.42
2000-12-20,0.00,2.16,0.41
2000-12-21,0.00,2.13,0.42
2000-12-22,0.00,2.09,0.40
2000-12-23,0.00,2.08,0.39
2000-12-24,0.00,2.06,0.39
2000-12-25,0.00,2.05,0.39
2000-12-26,0.00,2.09,0.40
2000-12-27,0.00,2.12,0.42
2000-12-28,0.00,2.11,0.41
2000-12-29,0.00,2.10,0.41
2000-12-30,0.00,2.12,0.42
2000-12-31,0.00,2.19,0.41
2001-01-01,0.00,2.05,0.40
2001-01-02,0.01,0.75,0.39
2001-01-03,0.02,1.94,0.36
2001-01-04,0.00,2.14,0.36
2001-01-05,0.00,2.13,0.34
2001-01-06,0.00,2.12,0.34
2001-01-07,0.00,2.18,0.34
2001-01-08,0.00,2.21,0.29
2001-01-09,0.00,2.27,0.34
2001-01-10,0.00,2.25,0.34
2001-01-11,0.00,2.24,0.33
2001-01-12,0.00,2.31,0.34
2001-01-13,0.00,2.24,0.35
2001-01-14,0.00,1.99,0.33
2001-01-15,0.00,2.37,0.31
2001-01-16,0.00,2.36,0.34
2001-01-17,0.00,2.35,0.35
2001-01-18,0.00,2.38,0.35
2001-01-19,0.00,2.37,0.32
2001-01-20,0.00,2.33,0.29
2001-01-21,0.00,2.38,0.32
2001-01-22,0.00,2.43,0.35
2001-01-23,0.00,2.51,0.38
2001-01-24,0.00,2.36,0.35
2001-01-25,0.00,2.31,0.34
2001-01-26,0.00,2.34,0.34
2001-01-27,0.00,2.35,0.34
2001-01-28,0.00,2.41,0.36
2001-01-29,0.00,2.01,0.38
2001-01-30,0.00,2.45,0.38
2001-01-31,0.00,2.55,0.33
2001-02-01,0.00,2.56,0.37
2001-02-02,0.00,2.61,0.34
2001-02-03,0.00,2.47,0.36
2001-02-04,0.00,2.67,0.33
2001-02-05,0.00,2.73,0.32
2001-02-06,0.00,2.79,0.34
2001-02-07,0.00,2.62,0.30
2001-02-08,0.00,2.60,0.31
2001-02-09,0.00,2.65,0.30
2001-02-10,0.00,2.67,0.29
2001-02-11,0.00,2.74,0.29
2001-02-12,0.00,2.77,0.30
2001-02-13,0.00,2.80,0.34
2001-02-14,0.00,2.88,0.34
2001-02-15,0.00,2.84,0.31
2001-02-16,0.00,2.87,0.33
2001-02-17,0.00,2.73,0.30
2001-02-18,0.00,2.91,0.30
2001-02-19,0.00,2.81,0.30
2001-02-20,0.00,3.06,0.30
2001-02-21,0.00,2.55,0.28
2001-02-22,0.05,2.93,0.30
2001-02-23,0.00,2.94,0.31
2001-02-24,0.00,3.02,0.30
2001-02-25,0.00,3.13,0.30
2001-02-26,0.00,3.17,0.30
2001-02-27,0.22,3.18,0.30
2001-02-28,0.31,2.86,0.29
2001-03-01,0.00,2.96,0.27
2001-03-02,0.00,3.18,0.27
2001-03-03,0.01,2.99,0.30
2001-03-04,0.00,2.90,0.30
2001-03-05,0.00,2.76,0.29
2001-03-06,0.00,2.98,0.29
2001-03-07,0.16,2.93,0.29
2001-03-08,0.72,3.00,0.28
2001-03-09,0.23,2.52,0.27
2001-03-10,0.00,2.24,0.26
2001-03-11,0.00,3.09,0.26
2001-03-12,0.00,3.11,0.26
2001-03-13,0.03,2.92,0.30
2001-03-14,0.00,3.06,0.35
2001-03-15,0.01,2.99,0.34
2001-03-16,0.00,2.88,0.32
2001-03-17,0.00,2.92,0.32
2001-03-18,0.09,3.04,0.32
2001-03-19,0.73,3.10,0.31
2001-03-20,0.00,3.38,0.30
2001-03-21,0.00,3.18,0.30
2001-03-22,0.04,3.03,0.27
2001-03-23,0.07,3.17,0.26
2001-03-24,0.87,3.21,0.26
2001-03-25,2.32,3.09,0.26
2001-03-26,0.63,3.13,0.26
2001-03-27,0.44,3.04,0.26
2001-03-28,0.00,3.44,0.25
2001-03-29,1.95,3.22,0.26
2001-03-30,2.46,2.93,0.25
2001-03-31,0.18,3.36,0.28
2001-04-01,2.21,3.50,0.26
2001-04-02,0.24,3.79,0.25
2001-04-03,0.01,3.79,0.27
2001-04-04,0.00,3.57,0.29
2001-04-05,1.03,3.67,0.28
2001-04-06,0.00,3.61,0.28
2001-04-07,0.71,3.88,0.27
2001-04-08,0.00,3.32,0.29
2001-04-09,0.00,3.22,0.31
2001-04-10,0.00,3.69,0.38
2001-04-11,0.00,3.39,0.27
2001-04-12,1.00,2.41,0.30
2001-04-13,3.39,1.48,0.31
2001-04-14,1.40,3.38,0.29
2001-04-15,0.07,3.67,0.29
2001-04-16,1.15,3.59,0.31
2001-04-17,2.42,2.95,0.33
2001-04-18,0.07,3.71,0.29
2001-04-19,0.47,3.52,0.37
2001-04-20,2.68,3.82,0.41
2001-04-21,0.05,3.51,0.28
2001-04-22,0.11,4.05,0.35
2001-04-23,0.26,4.02,0.36
2001-04-24,0.00,4.01,0.37
2001-04-25,0.00,4.09,0.32
2001-04-26,0.00,3.67,0.32
2001-04-27,0.00,3.58,0.31
2001-04-28,0.00,3.81,0.28
2001-04-29,0.00,3.57,0.29
2001-04-30,0.14,3.83,0.25
2001-05-01,1.51,3.83,0.26
2001-05-02,4.59,4.04,0.27
2001-05-03,4.43,4.04,0.30
2001-05-04,0.16,4.14,0.27
2001-05-05,5.58,3.96,0.19
2001-05-06,0.00,4.12,0.18
2001-05-07,2.85,4.37,0.18
2001-05-08,0.01,4.31,0.17
2001-05-09,0.00,4.26,0.30
2001-05-10,0.00,4.24,0.30
2001-05-11,0.00,4.09,0.41
2001-05-12,1.26,4.10,0.43
2001-05-13,0.07,4.16,0.41
2001-05-14,6.22,3.80,0.38
2001-05-15,2.32,4.15,0.34
2001-05-16,6.60,4.05,0.31
2001-05-17,0.25,3.88,0.29
2001-05-18,0.63,4.12,0.29
2001-05-19,0.00,4.05,0.27
2001-05-20,0.05,4.11,0.27
2001-05-21,1.52,4.11,0.27
2001-05-22,0.00,3.96,0.27
2001-05-23,0.14,4.30,0.36
2001-05-24,1.47,4.04,0.35
2001-05-25,0.58,4.07,0.35
2001-05-26,5.31,4.10,0.35
2001-05-27,2.76,4.09,0.36
2001-05-28,0.72,3.96,0.36
2001-05-29,1.65,4.01,0.40
2001-05-30,0.17,4.14,0.47
2001-05-31,3.45,4.03,0.75
2001-06-01,0.43,3.91,0.74
2001-06-02,6.55,3.19,0.85
2001-06-03,6.52,3.38,0.85
2001-06-04,4.00,2.91,0.85
2001-06-05,3.20,3.40,0.86
2001-06-06,1.96,2.85,0.86
2001-06-07,3.32,2.93,0.82
2001-06-08,0.29,2.50,0.90
2001-06-09,7.03,2.96,0.90
2001-06-10,12.96,2.67,1.09
2001-06-11,14.22,1.79,1.21
2001-06-12,41.91,1.42,1.49
2001-06-13,191.96,0.85,21.52
2001-06-14,56.78,1.11,46.37
2001-06-15,23.55,1.44,27.76
2001-06-16,5.53,2.84,9.47
2001-06-17,0.09,1.98,6.06
2001-06-18,0.00,3.09,2.77
2001-06-19,0.13,1.90,2.11
2001-06-20,1.08,2.70,1.61
2001-06-21,2.70,3.28,1.32
2001-06-22,0.25,1.89,0.87
2001-06-23,0.76,2.59,0.87
2001-06-24,22.31,2.27,2.14
2001-06-25,9.14,3.31,3.18
2001-06-26,2.62,2.02,3.56
2001-06-27,10.50,2.54,2.34
2001-06-28,8.47,2.22,2.70
2001-06-29,32.40,1.36,4.03
2001-06-30,20.13,2.25,9.33
2001-07-01,5.01,3.42,8.39
2001-07-02,0.91,3.61,4.50
2001-07-03,6.11,3.25,3.01
2001-07-04,14.49,1.39,4.83
2001-07-05,100.29,2.06,7.39
2001-07-06,122.99,2.04,38.74
2001-07-07,68.55,1.97,43.05
2001-07-08,91.33,1.24,54.52
2001-07-09,31.11,0.80,51.21
2001-07-10,17.89,1.66,29.91
2001-07-11,33.98,1.62,12.65
2001-07-12,13.05,2.28,15.21
2001-07-13,2.66,3.13,9.18
2001-07-14,0.23,2.44,5.53
2001-07-15,3.65,1.15,4.07
2001-07-16,46.22,1.06,7.35
2001-07-17,53.88,0.77,22.08
2001-07-18,22.05,0.75,18.75
2001-07-19,9.28,0.97,14.19
2001-07-20,5.96,2.26,10.16
2001-07-21,4.85,1.47,8.46
2001-07-22,1.35,2.22,7.92
2001-07-23,32.00,1.33,6.11
2001-07-24,10.68,2.09,13.66
2001-07-25,3.66,2.98,9.69
2001-07-26,9.35,1.48,6.96
2001-07-27,10.34,3.14,5.23
2001-07-28,9.91,3.72,4.82
2001-07-29,5.78,3.36,5.19
2001-07-30,13.14,3.14,4.48
2001-07-31,3.47,3.20,5.47
2001-08-01,3.28,2.94,5.07
2001-08-02,7.74,1.79,4.43
2001-08-03,18.34,0.96,6.52
2001-08-04,16.98,2.29,7.35
2001-08-05,17.52,2.18,7.69
2001-08-06,19.23,3.02,9.16
2001-08-07,12.01,2.47,11.80
2001-08-08,6.06,2.61,7.16
2001-08-09,12.29,1.72,5.49
2001-08-10,32.53,1.62,14.95
2001-08-11,11.39,2.31,16.60
2001-08-12,4.86,1.65,8.23
2001-08-13,4.12,1.25,6.77
2001-08-14,16.48,0.84,6.69
2001-08-15,22.42,1.61,11.95
2001-08-16,2.71,2.39,7.18
2001-08-17,9.31,2.13,5.76
2001-08-18,15.00,1.25,4.43
2001-08-19,60.62,1.16,4.27
2001-08-20,71.33,1.00,20.52
2001-08-21,12.53,1.33,27.75
2001-08-22,3.30,1.39,15.37
2001-08-23,6.17,1.54,7.26
2001-08-24,32.15,1.51,8.03
2001-08-25,14.59,2.34,12.81
2001-08-26,12.10,3.12,11.31
2001-08-27,9.52,3.23,11.95
2001-08-28,9.00,3.04,10.28
2001-08-29,0.60,3.14,6.97
2001-08-30,2.36,2.24,4.12
2001-08-31,3.61,2.22,3.63
2001-09-01,1.22,3.35,2.57
2001-09-02,4.38,3.30,2.35
2001-09-03,6.31,2.61,2.13
2001-09-04,5.94,2.80,2.14
2001-09-05,6.34,3.22,4.93
2001-09-06,2.43,3.27,4.74
2001-09-07,2.39,3.42,4.27
2001-09-08,0.36,3.23,3.83
2001-09-09,0.33,3.38,3.37
2001-09-10,2.53,3.50,2.74
2001-09-11,0.66,3.29,2.65
2001-09-12,7.63,2.75,2.61
2001-09-13,1.26,3.12,2.86
2001-09-14,2.68,3.60,2.99
2001-09-15,1.30,3.52,3.21
2001-09-16,0.62,3.19,2.99
2001-09-17,0.74,2.47,2.56
2001-09-18,7.24,3.08,2.56
2001-09-19,0.06,3.52,1.92
2001-09-20,0.00,3.65,1.74
2001-09-21,0.01,3.66,1.90
2001-09-22,0.00,3.50,1.69
2001-09-23,0.00,3.48,1.66
2001-09-24,1.99,3.28,1.50
2001-09-25,0.37,3.44,1.44
2001-09-26,0.31,3.21,1.55
2001-09-27,0.32,3.47,1.43
2001-09-28,1.88,3.35,1.46
2001-09-29,12.04,2.53,1.28
2001-09-30,14.63,1.39,1.50
2001-10-01,12.42,2.59,1.57
2001-10-02,7.21,2.64,1.69
2001-10-03,7.05,2.70,1.45
2001-10-04,3.54,2.55,1.36
2001-10-05,3.50,2.82,1.20
2001-10-06,0.43,2.68,1.64
2001-10-07,2.63,2.82,1.58
2001-10-08,1.54,3.09,1.37
2001-10-09,0.14,3.43,1.33
2001-10-10,0.08,2.92,1.22
2001-10-11,3.86,2.74,1.20
2001-10-12,2.54,2.87,1.13
2001-10-13,0.33,2.98,1.52
2001-10-14,0.64,3.21,1.60
2001-10-15,0.82,3.22,1.21
2001-10-16,5.40,2.59,1.17
2001-10-17,8.53,2.29,1.07
2001-10-18,3.69,2.24,1.02
2001-10-19,2.12,3.08,1.05
2001-10-20,0.00,3.14,1.15
2001-10-21,0.00,3.16,1.28
2001-10-22,0.00,3.01,1.13
2001-10-23,0.00,3.10,1.15
2001-10-24,0.01,2.90,1.13
2001-10-25,0.00,3.02,1.03
2001-10-26,0.00,3.10,0.94
2001-10-27,0.00,3.00,0.93
2001-10-28,0.00,3.04,0.85
2001-10-29,0.00,2.75,0.85
2001-10-30,0.00,2.69,0.82
2001-10-31,0.00,2.67,0.86
2001-11-01,0.00,2.84,0.55
2001-11-02,0.00,2.90,0.51
2001-11-03,0.00,2.82,0.51
2001-11-04,0.00,2.83,0.77
2001-11-05,0.00,2.82,1.28
2001-11-06,0.00,2.37,1.37
2001-11-07,0.15,2.56,1.33
2001-11-08,0.69,1.83,1.28
2001-11-09,0.34,2.24,1.24
2001-11-10,2.66,1.00,1.05
2001-11-11,1.03,1.89,0.85
2001-11-12,3.27,2.38,0.94
2001-11-13,0.48,1.14,0.95
2001-11-14,0.54,1.98,1.15
2001-11-15,0.90,2.39,1.11
2001-11-16,0.18,2.52,1.11
2001-11-17,0.00,2.40,1.03
2001-11-18,0.00,2.22,1.11
2001-11-19,0.08,2.35,1.11
2001-11-20,0.00,2.35,1.07
2001-11-21,0.00,2.22,0.99
2001-11-22,0.00,2.14,1.04
2001-11-23,0.00,2.20,1.02
2001-11-24,0.00,2.24,1.03
2001-11-25,7.66,2.21,0.62
2001-11-26,5.55,1.88,0.60
2001-11-27,4.85,1.96,0.60
2001-11-28,5.00,2.07,0.62
2001-11-29,8.52,2.29,0.68
2001-11-30,3.83,2.24,0.56
2001-12-01,0.00,2.17,0.70
2001-12-02,0.00,2.17,0.69
2001-12-03,0.00,2.17,0.68
2001-12-04,0.00,2.19,0.67
2001-12-05,0.00,2.20,0.68
2001-12-06,0.00,2.19,0.67
2001-12-07,0.00,2.19,0.72
2001-12-08,0.00,2.19,0.71
2001-12-09,0.00,2.21,0.70
2001-12-10,0.00,2.23,0.65
2001-12-11,0.00,2.26,0.71
2001-12-12,0.00,2.27,0.54
2001-12-13,0.00,2.24,0.75
2001-12-14,0.00,2.18,0.70
2001-12-15,0.00,2.17,0.68
2001-12-16,0.00,2.18,0.73
2001-12-17,0.00,2.16,0.74
2001-12-18,0.00,2.14,0.74
2001-12-19,0.00,2.13,0.68
2001-12-20,0.00,1.92,0.92
2001-12-21,0.00,1.63,0.62
2001-12-22,0.00,2.01,0.77
2001-12-23,0.00,2.01,0.60
2001-12-24,0.00,2.03,0.76
2001-12-25,0.00,2.07,0.68
2001-12-26,0.00,2.09,0.69
2001-12-27,0.00,2.14,0.64
2001-12-28,0.00,2.15,0.89
2001-12-29,0.00,2.12,0.89
2001-12-30,0.00,2.05,0.86
2001-12-31,0.00,1.97,0.82
2002-01-01,0.00,2.08,0.58
2002-01-02,0.00,2.03,0.77
2002-01-03,0.00,2.04,0.52
2002-01-04,0.00,2.00,0.56
